Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Abdoulay Konko,Abdoulay Konko-GEN-2122,Genoa CFC,2122,ITA-Serie A,1,24.92705,24.92705,0
Abdullah Avcı,Abdullah Avcı-IBB-1819,İstanbul Başakşehir,1819,TUR-Super Lig,29,67.19835,67,-0.19835
Abdullah Avcı,Abdullah Avcı-TRA-2021,Trabzonspor,2021,TUR-Super Lig,25,64.3501,71,6.6499
Abdullah Avcı,Abdullah Avcı-TRA-2122,Trabzonspor,2122,TUR-Super Lig,36,69.42275,81,11.57725
Abel Braga,Abel Braga-FCL-2122,FC Lugano,2122,SWI-Super League,3,43.97015,42.0053,-1.96485
Abel Ferreira,Abel Ferreira-BRAG-1819,Sporting Braga,1819,POR-Primeira Liga,33,60.3889,67,6.6111
Abelardo,Abelardo-ALA-1819,CD Alavés,1819,ESP-La Liga,32,45.1132,50,4.8868
Abelardo,Abelardo-ALA-2021,CD Alavés,2021,ESP-La Liga,10,38.9204,34.98295,-3.93745
Abelardo,Abelardo-ESP-1920,Espanyol Barcelona,1920,ESP-La Liga,12,33.2581,32.93835,-0.31975
Abelardo,Abelardo-GIJ-2122,Sporting Gijón,2122,ESP-La Liga 2,7,45.9565,46,0.0435
Achim Beierlorzer,Achim Beierlorzer-COL-1920,1. FC Köln,1920,GER-Bundesliga,11,36.51025,32.94185,-3.5684
Achim Beierlorzer,Achim Beierlorzer-JAHN-1819,Jahn Regensburg,1819,GER-Bundesliga 2,28,46.1564,49,2.8436
Achim Beierlorzer,Achim Beierlorzer-MNZ-1920,1. FSV Mainz 05,1920,GER-Bundesliga,24,37.19105,37,-0.19105
Achim Beierlorzer,Achim Beierlorzer-MNZ-2021,1. FSV Mainz 05,2021,GER-Bundesliga,3,39.8612,35.045,-4.8162
Achim Beierlorzer,Achim Beierlorzer-RBL-2122,RB Leipzig,2122,GER-Bundesliga,1,55.0209,55.0209,0
Adam Barrett,Adam Barrett-MIL-1920,Millwall FC,1920,ENG-Championship,1,59.7181,59.7181,0
Adam Murray,Adam Murray-BAR-1920,Barnsley FC,1920,ENG-Championship,4,39.2386,38.59,-0.6486
Adam Murray,Adam Murray-BAR-2021,Barnsley FC,2021,ENG-Championship,1,53.8442,53.8442,0
Adem Büyük,Adem Büyük-MAL-2122,Yeni Malatyaspor,2122,TUR-Super Lig,2,29.2955,28.2465,-1.049
Adi Hütter,Adi Hütter-FRA-1819,Eintracht Frankfurt,1819,GER-Bundesliga,30,42.77605,54,11.22395
Adi Hütter,Adi Hütter-FRA-1920,Eintracht Frankfurt,1920,GER-Bundesliga,36,47.935,45,-2.935
Adi Hütter,Adi Hütter-FRA-2021,Eintracht Frankfurt,2021,GER-Bundesliga,33,46.24935,60,13.75065
Adi Hütter,Adi Hütter-MGB-2122,Bor. Mönchengladbach,2122,GER-Bundesliga,35,50.19975,45,-5.19975
Adnan Čustović,Adnan Čustović-KVO-1920,KV Oostende,1920,BEL-First Division,1,23.14725,23.14725,0
Adnan Čustović,Adnan Čustović-WAA-1819,SK Beveren,1819,BEL-First Division,15,28.57005,27.58075,-0.9893
Adnan Čustović,Adnan Čustović-WAA-1920,SK Beveren,1920,BEL-First Division,4,30.2575,26.0578,-4.1997
Adolfo Sormani,Adolfo Sormani-VEJ-1819,Vejle BK,1819,DEN-Superligaen,15,35.98445,27.75325,-8.2312
Adrian Ursea,Adrian Ursea-NCE-2021,OGC Nice,2021,FRA-Ligue 1,23,52.05505,52,-0.05505
Adrie Koster,Adrie Koster-WIL-1819,Willem II,1819,NED-Eredivisie,29,44.1138,44,-0.1138
Adrie Koster,Adrie Koster-WIL-1920,Willem II,1920,NED-Eredivisie,26,42.2023,55.4147,13.2124
Adrie Koster,Adrie Koster-WIL-2021,Willem II,2021,NED-Eredivisie,17,44.54815,29.0264,-15.52175
Adrie Poldervaart,Adrie Poldervaart-EXL-1819,SBV Excelsior,1819,NED-Eredivisie,23,35.9109,29.96585,-5.94505
Aguilar,Aguilar-CAR-2021,FC Cartagena,2021,ESP-La Liga 2,3,46.96945,43.92165,-3.0478
Aguilar,Aguilar-COP-2021,FC Cartagena,2021,DEN-Superligaen,1,48.31815,48.31815,0
Aira,Aira-SOC-1819,FC Sochaux,1819,FRA-Ligue 2,7,44.1917,43.3821,-0.8096
Alaattin Gülerce,Alaattin Gülerce-MAL-2122,Yeni Malatyaspor,2122,TUR-Super Lig,1,26.71105,26.71105,0
Alain Casanova,Alain Casanova-FCL-2122,FC Lausanne-Sport,2122,SWI-Super League,15,26.2075,22,-4.2075
