name,coach_id,team,season,league,last_updated,expectation,result,difference
Aaron Danks,Aaron Danks-AVL-2223,Aston Villa,2223,ENG-Premier League,1,46.23595,46.23595,0.0
Abdoulay Konko,Abdoulay Konko-GEN-2122,Genoa CFC,2122,ITA-Serie A,1,24.92705,24.92705,0.0
Abdullah Avcı,Abdullah Avcı-IBB-1819,İstanbul Başakşehir,1819,TUR-Super Lig,29,67.19835,67.0,-0.1983500000000049
Abdullah Avcı,Abdullah Avcı-TRA-2021,Trabzonspor,2021,TUR-Super Lig,25,64.3501,71.0,6.649900000000002
Abdullah Avcı,Abdullah Avcı-TRA-2122,Trabzonspor,2122,TUR-Super Lig,36,69.42275,81.0,11.577250000000006
Abdullah Avcı,Abdullah Avcı-TRA-2223,Trabzonspor,2223,TUR-Super Lig,15,65.9483,62.2683,-3.6799999999999997
Abel Braga,Abel Braga-FCL-2122,FC Lugano,2122,SWI-Super League,3,43.97015,42.0053,-1.9648499999999984
Abel Ferreira,Abel Ferreira-BRAG-1819,Sporting Braga,1819,POR-Primeira Liga,33,60.3889,67.0,6.6111
Abelardo,Abelardo-ALA-1819,CD Alavés,1819,ESP-La Liga,32,45.1132,50.0,4.886800000000001
Abelardo,Abelardo-ALA-2021,CD Alavés,2021,ESP-La Liga,10,38.9204,34.98295,-3.9374499999999983
Abelardo,Abelardo-ESP-1920,Espanyol Barcelona,1920,ESP-La Liga,12,33.2581,32.93835,-0.3197499999999991
Abelardo,Abelardo-GIJ-2122,Sporting Gijón,2122,ESP-La Liga 2,7,45.9565,46.0,0.04350000000000165
Abelardo,Abelardo-GIJ-2223,Sporting Gijón,2223,ESP-La Liga 2,14,59.28425,59.36395,0.07970000000000255
Achim Beierlorzer,Achim Beierlorzer-COL-1920,1. FC Köln,1920,GER-Bundesliga,11,36.51025,32.94185,-3.568399999999997
Achim Beierlorzer,Achim Beierlorzer-JAHN-1819,Jahn Regensburg,1819,GER-Bundesliga 2,28,46.1564,49.0,2.843600000000002
Achim Beierlorzer,Achim Beierlorzer-MNZ-1920,1. FSV Mainz 05,1920,GER-Bundesliga,24,37.19105,37.0,-0.19104999999999706
Achim Beierlorzer,Achim Beierlorzer-MNZ-2021,1. FSV Mainz 05,2021,GER-Bundesliga,3,39.8612,35.045,-4.816199999999995
Achim Beierlorzer,Achim Beierlorzer-RBL-2122,RB Leipzig,2122,GER-Bundesliga,1,55.0209,55.0209,0.0
Adam Barrett,Adam Barrett-MIL-1920,Millwall FC,1920,ENG-Championship,1,59.7181,59.7181,0.0
Adam Murray,Adam Murray-BAR-1920,Barnsley FC,1920,ENG-Championship,4,39.2386,38.59,-0.6485999999999947
Adam Murray,Adam Murray-BAR-2021,Barnsley FC,2021,ENG-Championship,1,53.8442,53.8442,0.0
Adem Büyük,Adem Büyük-MAL-2122,Yeni Malatyaspor,2122,TUR-Super Lig,2,29.2955,28.2465,-1.0489999999999995
Adi Hütter,Adi Hütter-FRA-1819,Eintracht Frankfurt,1819,GER-Bundesliga,30,42.77605,54.0,11.223950000000002
Adi Hütter,Adi Hütter-FRA-1920,Eintracht Frankfurt,1920,GER-Bundesliga,36,47.935,45.0,-2.9350000000000023
Adi Hütter,Adi Hütter-FRA-2021,Eintracht Frankfurt,2021,GER-Bundesliga,33,46.24935,60.0,13.75065
Adi Hütter,Adi Hütter-MGB-2122,Bor. Mönchengladbach,2122,GER-Bundesliga,35,50.19975,45.0,-5.199750000000002
Adnan Čustović,Adnan Čustović-KVO-1920,KV Oostende,1920,BEL-First Division,1,23.14725,23.14725,0.0
Adnan Čustović,Adnan Čustović-WAA-1819,SK Beveren,1819,BEL-First Division,15,28.57005,27.58075,-0.9893000000000001
Adnan Čustović,Adnan Čustović-WAA-1920,SK Beveren,1920,BEL-First Division,4,30.2575,26.0578,-4.1997
Adolfo Sormani,Adolfo Sormani-VEJ-1819,Vejle BK,1819,DEN-Superligaen,15,35.98445,27.75325,-8.231200000000001
Adrian Ursea,Adrian Ursea-NCE-2021,OGC Nice,2021,FRA-Ligue 1,23,52.05505,52.0,-0.055050000000001376
Adrie Koster,Adrie Koster-WIL-1819,Willem II,1819,NED-Eredivisie,29,44.1138,44.0,-0.11379999999999768
Adrie Koster,Adrie Koster-WIL-1920,Willem II,1920,NED-Eredivisie,26,42.2023,55.4147,13.212400000000002
Adrie Koster,Adrie Koster-WIL-2021,Willem II,2021,NED-Eredivisie,17,44.54815,29.0264,-15.52175
Adrie Poldervaart,Adrie Poldervaart-EXL-1819,SBV Excelsior,1819,NED-Eredivisie,23,35.9109,29.96585,-5.945049999999998
Aguilar,Aguilar-CAR-2021,FC Cartagena,2021,ESP-La Liga 2,3,46.96945,43.92165,-3.0478000000000023
Aira,Aira-SOC-1819,FC Sochaux,1819,FRA-Ligue 2,7,44.1917,43.3821,-0.8095999999999961
Alaattin Gülerce,Alaattin Gülerce-MAL-2122,Yeni Malatyaspor,2122,TUR-Super Lig,1,26.71105,26.71105,0.0
Alain Casanova,Alain Casanova-FCL-2122,FC Lausanne-Sport,2122,SWI-Super League,15,26.2075,22.0,-4.2075
Alain Casanova,Alain Casanova-TOU-1819,Toulouse FC,1819,FRA-Ligue 1,33,50.69125,38.0,-12.691249999999997
Alain Casanova,Alain Casanova-TOU-1920,Toulouse FC,1920,FRA-Ligue 1,9,44.931,42.05315,-2.877849999999995
Alain Geiger,Alain Geiger-SER-1920,Servette FC,1920,SWI-Super League,30,39.2507,49.0,9.749299999999998
Alain Geiger,Alain Geiger-SER-2021,Servette FC,2021,SWI-Super League,29,46.123,50.0,3.8770000000000024
Alain Geiger,Alain Geiger-SER-2122,Servette FC,2122,SWI-Super League,32,42.5199,44.0,1.4801000000000002
Alain Geiger,Alain Geiger-SER-2223,Servette FC,2223,SWI-Super League,16,44.3314,52.8978,8.566399999999994
Alain Perrin,Alain Perrin-NCY-1819,AS Nancy Lorraine,1819,FRA-Ligue 2,25,28.695,42.0,13.305
Alan McManus,Alan McManus-STM-2122,St. Mirren FC,2122,SCO-premiership,1,46.4854,46.4854,0.0
Alan Pardew,Alan Pardew-ADO-1920,ADO Den Haag,1920,NED-Eredivisie,8,34.18665,28.2785,-5.908149999999999
Albert Capellas,Albert Capellas-FCM-2223,FC Midtjylland,2223,DEN-Superligaen,11,52.2886,49.2252,-3.0634000000000015
Albert Cartier,Albert Cartier-GFC-1819,GFC Ajaccio,1819,FRA-Ligue 2,3,41.2595,39.57005,-1.6894500000000008
Albert Cartier,Albert Cartier-NCY-2122,AS Nancy Lorraine,2122,FRA-Ligue 2,14,29.9305,27.0,-2.9304999999999986
Albert Meyong,Albert Meyong-SET-1920,Vitória Setúbal,1920,POR-Primeira Liga,3,37.1646,37.0736,-0.09100000000000108
Alberto Gallego,Alberto Gallego-ELC-2223,Elche CF,2223,ESP-La Liga,1,30.7886,30.7886,0.0
